id;drink;baseline_focus;cleaned_rows
1;Espresso;62;118
2;Espresso;55;112
3;Espresso;71;132
4;Espresso;48;103
5;Espresso;66;126
6;Espresso;59;120
7;Espresso;73;139
8;Espresso;51;108
9;Espresso;68;129
10;Espresso;57;115
11;Matcha;60;110
12;Matcha;54;106
13;Matcha;72;123
14;Matcha;49;98
15;Matcha;65;116
16;Matcha;58;108
17;Matcha;74;125
18;Matcha;52;102
19;Matcha;69;120
20;Matcha;56;107
21;Decaf;61;104
22;Decaf;53;96
23;Decaf;70;112
24;Decaf;47;88
25;Decaf;67;106
26;Decaf;58;97
27;Decaf;75;114
28;Decaf;50;92
29;Decaf;68;108
30;Decaf;55;95
