id,drink,music,chair,baseline_focus,meme_exposure,cleaned_rows
1,Decaf,Silence,Wooden,75.0,16.9,123
2,Espresso,Silence,Wooden,53.4,35.7,119
3,Espresso,Silence,Wooden,44.2,23.6,93
4,Matcha,LoFi,Wooden,76.3,28.2,139
5,Matcha,Silence,Wooden,57.7,60.0,116
6,Matcha,LoFi,Gaming,62.4,34.7,124
7,Espresso,LoFi,Wooden,81.2,28.2,152
8,Matcha,LoFi,Gaming,73.4,25.5,128
9,Matcha,LoFi,Wooden,68.3,12.5,137
10,Matcha,Silence,Gaming,72.7,38.0,138
11,Decaf,LoFi,Gaming,54.7,44.2,100
12,Decaf,Silence,Gaming,69.5,25.8,125
13,Decaf,LoFi,Gaming,73.1,45.1,120
14,Decaf,LoFi,Wooden,69.6,23.7,123
15,Decaf,LoFi,Gaming,60.0,3.7,102
16,Espresso,LoFi,Wooden,30.0,17.2,87
17,Decaf,Silence,Gaming,67.6,12.3,142
18,Matcha,Silence,Gaming,63.1,21.7,130
19,Espresso,Silence,Gaming,58.3,32.5,122
20,Espresso,LoFi,Wooden,69.8,13.9,124
21,Espresso,LoFi,Gaming,64.7,24.0,129
22,Decaf,Silence,Wooden,64.0,27.4,122
23,Decaf,Silence,Wooden,47.2,16.2,91
24,Decaf,LoFi,Wooden,47.4,14.1,95
25,Espresso,LoFi,Wooden,65.7,26.0,113
26,Matcha,Silence,Wooden,62.8,35.5,109
27,Matcha,Silence,Gaming,63.4,17.8,103
28,Decaf,Silence,Wooden,63.7,16.0,127
29,Espresso,Silence,Gaming,66.1,23.3,129
30,Matcha,Silence,Gaming,62.4,28.5,123
31,Matcha,Silence,Gaming,63.6,18.5,117
32,Decaf,Silence,Wooden,64.6,21.0,101
33,Matcha,LoFi,Wooden,71.3,22.2,130
34,Matcha,LoFi,Wooden,56.9,12.0,106
35,Matcha,LoFi,Wooden,69.9,22.9,120
36,Matcha,Silence,Wooden,68.4,18.3,123
37,Espresso,LoFi,Wooden,63.1,44.0,124
38,Espresso,LoFi,Gaming,57.2,18.8,115
39,Espresso,LoFi,Wooden,65.7,30.5,120
40,Espresso,LoFi,Wooden,70.6,29.6,125
41,Decaf,Silence,Wooden,51.3,11.6,96
42,Matcha,LoFi,Wooden,62.6,10.0,128
43,Espresso,LoFi,Wooden,62.6,19.7,109
44,Matcha,Silence,Gaming,55.4,33.0,103
45,Espresso,LoFi,Gaming,55.8,18.1,114
46,Matcha,LoFi,Gaming,46.5,17.1,98
47,Decaf,LoFi,Gaming,51.0,0.0,95
48,Espresso,LoFi,Gaming,46.6,20.2,119
49,Matcha,LoFi,Gaming,55.8,28.7,115
50,Matcha,LoFi,Wooden,56.4,30.3,103
51,Decaf,Silence,Gaming,56.6,30.2,90
52,Matcha,Silence,Gaming,65.7,21.1,120
53,Espresso,Silence,Gaming,60.1,22.3,130
54,Espresso,LoFi,Gaming,54.7,35.0,116
55,Matcha,Silence,Wooden,54.8,23.4,87
56,Matcha,Silence,Gaming,50.7,0.0,91
57,Espresso,LoFi,Wooden,60.0,37.2,120
58,Matcha,Silence,Gaming,59.9,12.1,122
59,Matcha,Silence,Wooden,78.2,41.5,137
60,Espresso,Silence,Gaming,77.3,45.3,141
61,Decaf,LoFi,Gaming,76.8,34.1,141
62,Espresso,Silence,Wooden,82.8,35.8,155
63,Decaf,LoFi,Gaming,49.8,47.3,94
64,Decaf,LoFi,Gaming,68.7,11.8,126
65,Decaf,LoFi,Gaming,69.6,28.0,116
66,Decaf,Silence,Wooden,66.8,27.9,107
67,Matcha,LoFi,Gaming,83.3,13.4,150
68,Matcha,Silence,Gaming,87.4,49.1,137
69,Espresso,Silence,Wooden,71.8,18.0,132
70,Matcha,Silence,Wooden,68.5,16.2,126
71,Matcha,LoFi,Gaming,50.8,28.2,112
72,Decaf,Silence,Gaming,50.8,37.4,89
73,Decaf,LoFi,Gaming,69.0,17.8,126
74,Matcha,Silence,Wooden,61.2,17.8,113
75,Matcha,Silence,Gaming,48.7,31.0,112
76,Matcha,Silence,Gaming,60.8,7.9,109
77,Matcha,Silence,Gaming,65.6,15.7,112
78,Decaf,LoFi,Gaming,71.4,14.9,129
79,Espresso,Silence,Wooden,60.9,19.8,111
80,Espresso,Silence,Wooden,59.3,23.3,105
81,Matcha,Silence,Wooden,62.1,47.1,123
82,Decaf,Silence,Wooden,63.7,35.9,116
83,Matcha,LoFi,Gaming,50.4,25.3,80
84,Espresso,LoFi,Gaming,70.3,22.3,126
85,Espresso,Silence,Gaming,83.9,35.5,139
86,Espresso,Silence,Gaming,70.1,30.1,136
87,Espresso,LoFi,Gaming,47.5,35.7,117
88,Decaf,LoFi,Wooden,62.9,41.6,130
89,Matcha,LoFi,Gaming,44.3,12.9,102
90,Espresso,Silence,Gaming,43.7,0.0,88
91,Matcha,LoFi,Gaming,68.6,24.7,118
92,Matcha,LoFi,Gaming,62.8,26.0,112
93,Matcha,LoFi,Wooden,55.1,28.4,113
94,Matcha,Silence,Wooden,41.1,17.8,99
95,Matcha,Silence,Wooden,49.3,22.2,84
96,Espresso,Silence,Gaming,63.6,31.7,128
97,Espresso,LoFi,Wooden,62.3,32.4,129
98,Decaf,Silence,Gaming,68.9,41.0,123
99,Decaf,Silence,Wooden,77.2,0.0,154
100,Matcha,LoFi,Gaming,58.6,5.2,119
101,Matcha,LoFi,Gaming,66.7,42.5,125
102,Matcha,Silence,Gaming,60.6,32.3,120
103,Espresso,Silence,Gaming,57.0,34.5,110
104,Matcha,LoFi,Gaming,59.6,21.6,107
105,Matcha,Silence,Gaming,71.6,19.3,132
106,Matcha,Silence,Wooden,51.7,27.4,111
107,Decaf,Silence,Wooden,73.4,13.7,122
108,Matcha,LoFi,Wooden,76.8,6.6,143
109,Decaf,LoFi,Gaming,62.4,11.7,111
110,Matcha,LoFi,Wooden,64.5,26.4,134
111,Espresso,LoFi,Wooden,47.9,32.6,106
112,Decaf,LoFi,Gaming,85.6,44.8,148
113,Decaf,LoFi,Wooden,71.8,29.5,131
114,Matcha,LoFi,Wooden,63.7,30.7,109
115,Decaf,Silence,Gaming,62.6,45.3,111
116,Matcha,Silence,Gaming,66.5,15.7,137
117,Decaf,LoFi,Gaming,55.5,13.5,106
118,Espresso,LoFi,Wooden,64.8,18.5,136
119,Espresso,Silence,Wooden,52.8,23.8,115
120,Decaf,Silence,Gaming,67.0,49.3,104
